Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,62.700001,63.349998,62.450001,62.720001,46.236153,6161600
2007-01-04,62.700001,63.250000,62.500000,63.150002,46.553139,5414300
2007-01-05,62.700001,63.220001,62.700001,62.950001,46.405697,4542400
2007-01-08,63.000000,63.270000,62.860001,63.090000,46.508896,6122600
2007-01-09,63.049999,63.470001,63.009998,63.349998,46.700565,4916500
2007-01-10,63.000000,64.290001,62.290001,64.150002,47.290321,6427100
2007-01-11,64.199997,65.059998,64.199997,64.949997,47.880051,6909300
2007-01-12,64.779999,65.250000,64.589996,64.699997,47.695763,4982100
2007-01-16,64.500000,64.989998,64.500000,64.849998,47.806347,3517700
2007-01-17,64.669998,65.000000,64.559998,65.000000,47.916927,4494400
2007-01-18,64.410004,65.540001,64.220001,64.919998,47.857944,4144300
2007-01-19,65.010002,65.010002,64.669998,64.820000,47.784229,5333700
2007-01-22,64.629997,65.129997,64.540001,64.809998,47.776863,5546700
2007-01-23,64.709999,65.110001,64.650002,64.839996,47.798969,3860200
2007-01-24,64.739998,65.199997,64.500000,65.199997,48.064350,3586600
2007-01-25,65.070000,65.070000,64.330002,64.419998,47.489357,3750500
2007-01-26,64.449997,64.809998,64.400002,64.449997,47.511478,8566800
2007-01-29,64.449997,64.849998,64.400002,64.599998,47.622059,4451200
2007-01-30,64.680000,65.209999,64.400002,65.089996,47.983276,5131600
2007-01-31,65.099998,65.360001,64.879997,65.239998,48.093845,4277000
2007-02-01,65.000000,65.389999,64.680000,65.379997,48.197056,4382800
2007-02-02,64.650002,65.300003,64.639999,65.040001,47.946419,3097800
2007-02-05,65.000000,65.000000,64.440002,64.830002,47.791611,3646800
2007-02-06,64.839996,64.940002,64.360001,64.389999,47.467243,4129800
2007-02-07,64.400002,64.699997,64.220001,64.500000,47.548332,4323100
2007-02-08,63.250000,64.110001,62.799999,63.310001,46.671074,13901100
2007-02-09,62.560001,64.150002,62.560001,63.910000,47.113396,7276500
2007-02-12,63.990002,64.000000,63.560001,63.720001,46.973320,4961100
2007-02-13,63.790001,64.139999,63.410000,63.810001,47.039673,4969500
2007-02-14,63.799999,63.959999,63.349998,63.349998,46.700565,6885900
2007-02-15,63.259998,64.519997,63.250000,64.080002,47.238712,4701500
