"DAY_OF_MONTH","DAY_OF_WEEK","CARRIER","ORIGIN","DEST","ARR_DELAY","ARR_DEL15","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","DIV_AIRPORT_LANDINGS"
29,3,"1","51","49",91,1,17,0,9,0,65,0
30,4,"1","51","49",68,1,68,0,0,0,0,0
1,3,"1","49","51",32,1,32,0,0,0,0,0
2,4,"1","49","51",-33,0,NA,NA,NA,NA,NA,0
3,5,"1","49","51",-29,0,NA,NA,NA,NA,NA,0
4,6,"1","49","51",2,0,NA,NA,NA,NA,NA,0
5,7,"1","49","51",0,0,NA,NA,NA,NA,NA,0
6,1,"1","49","51",6,0,NA,NA,NA,NA,NA,0
7,2,"1","49","51",-4,0,NA,NA,NA,NA,NA,0
8,3,"1","49","51",-7,0,NA,NA,NA,NA,NA,0
9,4,"1","49","51",-32,0,NA,NA,NA,NA,NA,0
10,5,"1","49","51",-28,0,NA,NA,NA,NA,NA,0
11,6,"1","49","51",-32,0,NA,NA,NA,NA,NA,0
12,7,"1","49","51",1,0,NA,NA,NA,NA,NA,0
13,1,"1","49","51",-9,0,NA,NA,NA,NA,NA,0
14,2,"1","49","51",-10,0,NA,NA,NA,NA,NA,0
15,3,"1","49","51",-22,0,NA,NA,NA,NA,NA,0
16,4,"1","49","51",41,1,0,0,41,0,0,0
17,5,"1","49","51",-27,0,NA,NA,NA,NA,NA,0
18,6,"1","49","51",-30,0,NA,NA,NA,NA,NA,0
19,7,"1","49","51",-39,0,NA,NA,NA,NA,NA,0
20,1,"1","49","51",-26,0,NA,NA,NA,NA,NA,0
21,2,"1","49","51",-15,0,NA,NA,NA,NA,NA,0
22,3,"1","49","51",-2,0,NA,NA,NA,NA,NA,0
23,4,"1","49","51",24,1,0,0,24,0,0,0
24,5,"1","49","51",25,1,1,0,24,0,0,0
25,6,"1","49","51",-32,0,NA,NA,NA,NA,NA,0
26,7,"1","49","51",13,0,NA,NA,NA,NA,NA,0
27,1,"1","49","51",15,1,0,0,15,0,0,0
28,2,"1","49","51",-9,0,NA,NA,NA,NA,NA,0
29,3,"1","49","51",46,1,45,0,1,0,0,0
30,4,"1","49","51",-16,0,NA,NA,NA,NA,NA,0
1,3,"1","51","49",-14,0,NA,NA,NA,NA,NA,0
2,4,"1","51","49",22,1,0,0,22,0,0,0
3,5,"1","51","49",14,0,NA,NA,NA,NA,NA,0
5,7,"1","51","49",179,1,0,0,179,0,0,0
