"DAY_OF_MONTH","DAY_OF_WEEK","CARRIER","ORIGIN","DEST","ARR_DELAY","ARR_DEL15","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","DIV_AIRPORT_LANDINGS"
7,2,"AA","JFK","LAX",-10,0,NA,NA,NA,NA,NA,0
8,3,"AA","JFK","LAX",14,0,NA,NA,NA,NA,NA,0
9,4,"AA","JFK","LAX",-1,0,NA,NA,NA,NA,NA,0
10,5,"AA","JFK","LAX",-8,0,NA,NA,NA,NA,NA,0
11,6,"AA","JFK","LAX",-40,0,NA,NA,NA,NA,NA,0
12,7,"AA","JFK","LAX",-16,0,NA,NA,NA,NA,NA,0
13,1,"AA","JFK","LAX",7,0,NA,NA,NA,NA,NA,0
14,2,"AA","JFK","LAX",58,1,58,0,0,0,0,0
15,3,"AA","JFK","LAX",158,1,120,0,4,0,34,0
16,4,"AA","JFK","LAX",119,1,0,0,119,0,0,0
17,5,"AA","JFK","LAX",-17,0,NA,NA,NA,NA,NA,0
18,6,"AA","JFK","LAX",21,1,6,0,15,0,0,0
19,7,"AA","JFK","LAX",-27,0,NA,NA,NA,NA,NA,0
20,1,"AA","JFK","LAX",-39,0,NA,NA,NA,NA,NA,0
21,2,"AA","JFK","LAX",35,1,0,0,35,0,0,0
22,3,"AA","JFK","LAX",-10,0,NA,NA,NA,NA,NA,0
23,4,"AA","JFK","LAX",14,0,NA,NA,NA,NA,NA,0
24,5,"AA","JFK","LAX",21,1,21,0,0,0,0,0
25,6,"AA","JFK","LAX",-36,0,NA,NA,NA,NA,NA,0
26,7,"AA","JFK","LAX",20,1,1,0,0,0,19,0
