"DAY_OF_MONTH","CARRIER","FL_NUM","ORIGIN","DEST","ARR_DEL15"
25,"AA",9,"JFK","SFO",0
26,"AA",9,"JFK","SFO",0
27,"AA",9,"JFK","SFO",0
28,"AA",9,"JFK","SFO",0
29,"AA",9,"JFK","SFO",0
30,"AA",9,"JFK","SFO",0
1,"AA",10,"LAX","JFK",0
2,"AA",10,"LAX","JFK",0
3,"AA",10,"LAX","JFK",1
4,"AA",10,"LAX","JFK",1
5,"AA",10,"LAX","JFK",1
6,"AA",10,"LAX","JFK",1
7,"AA",10,"LAX","JFK",0
8,"AA",10,"LAX","JFK",0
9,"AA",10,"LAX","JFK",0
10,"AA",10,"LAX","JFK",1
11,"AA",10,"LAX","JFK",1
12,"AA",10,"LAX","JFK",1
13,"AA",10,"LAX","JFK",1
14,"AA",10,"LAX","JFK",0
15,"AA",10,"LAX","JFK",0
16,"AA",10,"LAX","JFK",1
17,"AA",10,"LAX","JFK",0
18,"AA",10,"LAX","JFK",0
19,"AA",10,"LAX","JFK",1
20,"AA",10,"LAX","JFK",0
21,"AA",10,"LAX","JFK",0
22,"AA",10,"LAX","JFK",0
23,"AA",10,"LAX","JFK",0
24,"AA",10,"LAX","JFK",0
25,"AA",10,"LAX","JFK",1
26,"AA",10,"LAX","JFK",0
27,"AA",10,"LAX","JFK",0
28,"AA",10,"LAX","JFK",0
29,"AA",10,"LAX","JFK",0
30,"AA",10,"LAX","JFK",0
1,"AA",12,"SFO","JFK",0
2,"AA",12,"SFO","JFK",1
4,"AA",12,"SFO","JFK",1
5,"AA",12,"SFO","JFK",1
8,"AA",12,"SFO","JFK",1
9,"AA",12,"SFO","JFK",0
11,"AA",12,"SFO","JFK",1
12,"AA",12,"SFO","JFK",0
15,"AA",12,"SFO","JFK",0
16,"AA",12,"SFO","JFK",1
18,"AA",12,"SFO","JFK",0
19,"AA",12,"SFO","JFK",0
22,"AA",12,"SFO","JFK",0
23,"AA",12,"SFO","JFK",1
25,"AA",12,"SFO","JFK",0
26,"AA",12,"SFO","JFK",0
29,"AA",12,"SFO","JFK",0
30,"AA",12,"SFO","JFK",0
5,"AA",15,"BOS","JFK",0
12,"AA",15,"BOS","JFK",0
19,"AA",15,"BOS","JFK",0
26,"AA",15,"BOS","JFK",0
1,"AA",15,"JFK","SFO",0
2,"AA",15,"JFK","SFO",0
3,"AA",15,"JFK","SFO",0
5,"AA",15,"JFK","SFO",0
6,"AA",15,"JFK","SFO",0
7,"AA",15,"JFK","SFO",0
8,"AA",15,"JFK","SFO",0
9,"AA",15,"JFK","SFO",0
10,"AA",15,"JFK","SFO",1
12,"AA",15,"JFK","SFO",0
13,"AA",15,"JFK","SFO",0
14,"AA",15,"JFK","SFO",0
15,"AA",15,"JFK","SFO",1
16,"AA",15,"JFK","SFO",1
17,"AA",15,"JFK","SFO",1
19,"AA",15,"JFK","SFO",0
20,"AA",15,"JFK","SFO",0
21,"AA",15,"JFK","SFO",1
22,"AA",15,"JFK","SFO",1
23,"AA",15,"JFK","SFO",0
24,"AA",15,"JFK","SFO",1
26,"AA",15,"JFK","SFO",0
27,"AA",15,"JFK","SFO",0
28,"AA",15,"JFK","SFO",0
29,"AA",15,"JFK","SFO",0
30,"AA",15,"JFK","SFO",0
3,"AA",16,"SFO","JFK",0
5,"AA",16,"SFO","JFK",1
6,"AA",16,"SFO","JFK",0
7,"AA",16,"SFO","JFK",0
10,"AA",16,"SFO","JFK",0
12,"AA",16,"SFO","JFK",0
13,"AA",16,"SFO","JFK",1
14,"AA",16,"SFO","JFK",0
17,"AA",16,"SFO","JFK",0
19,"AA",16,"SFO","JFK",0
20,"AA",16,"SFO","JFK",0
21,"AA",16,"SFO","JFK",1
24,"AA",16,"SFO","JFK",0
26,"AA",16,"SFO","JFK",1
27,"AA",16,"SFO","JFK",0
28,"AA",16,"SFO","JFK",1
1,"AA",17,"JFK","AUS",0
1,"AA",18,"SFO","JFK",0
2,"AA",18,"SFO","JFK",0
4,"AA",18,"SFO","JFK",0
8,"AA",18,"SFO","JFK",0
9,"AA",18,"SFO","JFK",0
11,"AA",18,"SFO","JFK",0
15,"AA",18,"SFO","JFK",0
16,"AA",18,"SFO","JFK",0
18,"AA",18,"SFO","JFK",0
22,"AA",18,"SFO","JFK",1
23,"AA",18,"SFO","JFK",1
25,"AA",18,"SFO","JFK",0
29,"AA",18,"SFO","JFK",0
30,"AA",18,"SFO","JFK",0
1,"AA",19,"JFK","LAX",0
2,"AA",19,"JFK","LAX",0
3,"AA",19,"JFK","LAX",0
4,"AA",19,"JFK","LAX",0
5,"AA",19,"JFK","LAX",0
6,"AA",19,"JFK","LAX",0
7,"AA",19,"JFK","LAX",0
8,"AA",19,"JFK","LAX",0
9,"AA",19,"JFK","LAX",0
10,"AA",19,"JFK","LAX",0
11,"AA",19,"JFK","LAX",0
12,"AA",19,"JFK","LAX",0
13,"AA",19,"JFK","LAX",0
14,"AA",19,"JFK","LAX",0
15,"AA",19,"JFK","LAX",0
16,"AA",19,"JFK","LAX",1
17,"AA",19,"JFK","LAX",0
18,"AA",19,"JFK","LAX",0
19,"AA",19,"JFK","LAX",0
20,"AA",19,"JFK","LAX",0
21,"AA",19,"JFK","LAX",1
22,"AA",19,"JFK","LAX",0
23,"AA",19,"JFK","LAX",1
24,"AA",19,"JFK","LAX",0
25,"AA",19,"JFK","LAX",0
26,"AA",19,"JFK","LAX",0
27,"AA",19,"JFK","LAX",0
28,"AA",19,"JFK","LAX",0
29,"AA",19,"JFK","LAX",0
30,"AA",19,"JFK","LAX",0
1,"AA",20,"SFO","JFK",0
2,"AA",20,"SFO","JFK",0
3,"AA",20,"SFO","JFK",0
4,"AA",20,"SFO","JFK",0
5,"AA",20,"SFO","JFK",0
6,"AA",20,"SFO","JFK",0
7,"AA",20,"SFO","JFK",0
8,"AA",20,"SFO","JFK",0
9,"AA",20,"SFO","JFK",0
10,"AA",20,"SFO","JFK",0
11,"AA",20,"SFO","JFK",1
12,"AA",20,"SFO","JFK",0
13,"AA",20,"SFO","JFK",1
14,"AA",20,"SFO","JFK",1
15,"AA",20,"SFO","JFK",0
16,"AA",20,"SFO","JFK",0
17,"AA",20,"SFO","JFK",0
18,"AA",20,"SFO","JFK",1
19,"AA",20,"SFO","JFK",0
20,"AA",20,"SFO","JFK",0
21,"AA",20,"SFO","JFK",0
22,"AA",20,"SFO","JFK",0
23,"AA",20,"SFO","JFK",1
24,"AA",20,"SFO","JFK",0
25,"AA",20,"SFO","JFK",0
26,"AA",20,"SFO","JFK",0
27,"AA",20,"SFO","JFK",1
28,"AA",20,"SFO","JFK",1
29,"AA",20,"SFO","JFK",0
30,"AA",20,"SFO","JFK",0
1,"AA",21,"JFK","LAX",0
2,"AA",21,"JFK","LAX",1
3,"AA",21,"JFK","LAX",0
4,"AA",21,"JFK","LAX",0
5,"AA",21,"JFK","LAX",1
6,"AA",21,"JFK","LAX",1
7,"AA",21,"JFK","LAX",0
8,"AA",21,"JFK","LAX",1
9,"AA",21,"JFK","LAX",0
10,"AA",21,"JFK","LAX",0
11,"AA",21,"JFK","LAX",0
12,"AA",21,"JFK","LAX",0
13,"AA",21,"JFK","LAX",0
14,"AA",21,"JFK","LAX",0
15,"AA",21,"JFK","LAX",0
16,"AA",21,"JFK","LAX",1
17,"AA",21,"JFK","LAX",1
18,"AA",21,"JFK","LAX",1
19,"AA",21,"JFK","LAX",1
20,"AA",21,"JFK","LAX",0
21,"AA",21,"JFK","LAX",0
22,"AA",21,"JFK","LAX",0
23,"AA",21,"JFK","LAX",1
24,"AA",21,"JFK","LAX",1
25,"AA",21,"JFK","LAX",0
26,"AA",21,"JFK","LAX",1
27,"AA",21,"JFK","LAX",1
28,"AA",21,"JFK","LAX",1
29,"AA",21,"JFK","LAX",0
30,"AA",21,"JFK","LAX",0
1,"AA",22,"LAX","JFK",0
2,"AA",22,"LAX","JFK",0
3,"AA",22,"LAX","JFK",0
4,"AA",22,"LAX","JFK",1
5,"AA",22,"LAX","JFK",1
6,"AA",22,"LAX","JFK",0
7,"AA",22,"LAX","JFK",0
8,"AA",22,"LAX","JFK",0
9,"AA",22,"LAX","JFK",0
10,"AA",22,"LAX","JFK",0
11,"AA",22,"LAX","JFK",0
12,"AA",22,"LAX","JFK",0
13,"AA",22,"LAX","JFK",0
14,"AA",22,"LAX","JFK",0
15,"AA",22,"LAX","JFK",0
16,"AA",22,"LAX","JFK",1
17,"AA",22,"LAX","JFK",0
18,"AA",22,"LAX","JFK",0
19,"AA",22,"LAX","JFK",0
20,"AA",22,"LAX","JFK",0
21,"AA",22,"LAX","JFK",1
22,"AA",22,"LAX","JFK",1
23,"AA",22,"LAX","JFK",1
24,"AA",22,"LAX","JFK",0
25,"AA",22,"LAX","JFK",1
26,"AA",22,"LAX","JFK",0
27,"AA",22,"LAX","JFK",0
28,"AA",22,"LAX","JFK",1
29,"AA",22,"LAX","JFK",1
30,"AA",22,"LAX","JFK",0
1,"AA",23,"JFK","LAX",0
2,"AA",23,"JFK","LAX",0
3,"AA",23,"JFK","LAX",0
5,"AA",23,"JFK","LAX",1
6,"AA",23,"JFK","LAX",0
7,"AA",23,"JFK","LAX",0
8,"AA",23,"JFK","LAX",0
9,"AA",23,"JFK","LAX",0
10,"AA",23,"JFK","LAX",0
12,"AA",23,"JFK","LAX",1
13,"AA",23,"JFK","LAX",1
14,"AA",23,"JFK","LAX",1
15,"AA",23,"JFK","LAX",0
16,"AA",23,"JFK","LAX",1
17,"AA",23,"JFK","LAX",0
19,"AA",23,"JFK","LAX",0
20,"AA",23,"JFK","LAX",0
21,"AA",23,"JFK","LAX",0
22,"AA",23,"JFK","LAX",1
23,"AA",23,"JFK","LAX",1
24,"AA",23,"JFK","LAX",1
26,"AA",23,"JFK","LAX",0
27,"AA",23,"JFK","LAX",0
28,"AA",23,"JFK","LAX",1
29,"AA",23,"JFK","LAX",1
30,"AA",23,"JFK","LAX",0
1,"AA",28,"LAX","JFK",0
2,"AA",28,"LAX","JFK",1
3,"AA",28,"LAX","JFK",0
4,"AA",28,"LAX","JFK",1
5,"AA",28,"LAX","JFK",1
6,"AA",28,"LAX","JFK",1
7,"AA",28,"LAX","JFK",0
8,"AA",28,"LAX","JFK",0
9,"AA",28,"LAX","JFK",0
10,"AA",28,"LAX","JFK",0
11,"AA",28,"LAX","JFK",0
12,"AA",28,"LAX","JFK",1
13,"AA",28,"LAX","JFK",0
14,"AA",28,"LAX","JFK",1
15,"AA",28,"LAX","JFK",0
16,"AA",28,"LAX","JFK",1
17,"AA",28,"LAX","JFK",1
18,"AA",28,"LAX","JFK",1
19,"AA",28,"LAX","JFK",1
20,"AA",28,"LAX","JFK",0
21,"AA",28,"LAX","JFK",0
22,"AA",28,"LAX","JFK",0
23,"AA",28,"LAX","JFK",1
24,"AA",28,"LAX","JFK",0
25,"AA",28,"LAX","JFK",1
26,"AA",28,"LAX","JFK",0
27,"AA",28,"LAX","JFK",0
28,"AA",28,"LAX","JFK",1
29,"AA",28,"LAX","JFK",0
30,"AA",28,"LAX","JFK",1
1,"AA",30,"LAX","JFK",1
2,"AA",30,"LAX","JFK",0
3,"AA",30,"LAX","JFK",0
5,"AA",30,"LAX","JFK",1
6,"AA",30,"LAX","JFK",1
7,"AA",30,"LAX","JFK",0
8,"AA",30,"LAX","JFK",0
9,"AA",30,"LAX","JFK",0
10,"AA",30,"LAX","JFK",1
12,"AA",30,"LAX","JFK",1
13,"AA",30,"LAX","JFK",1
14,"AA",30,"LAX","JFK",0
15,"AA",30,"LAX","JFK",0
16,"AA",30,"LAX","JFK",1
17,"AA",30,"LAX","JFK",1
19,"AA",30,"LAX","JFK",0
20,"AA",30,"LAX","JFK",0
21,"AA",30,"LAX","JFK",1
22,"AA",30,"LAX","JFK",1
23,"AA",30,"LAX","JFK",1
24,"AA",30,"LAX","JFK",1
26,"AA",30,"LAX","JFK",1
27,"AA",30,"LAX","JFK",1
28,"AA",30,"LAX","JFK",0
29,"AA",30,"LAX","JFK",0
30,"AA",30,"LAX","JFK",0
1,"AA",32,"LAX","JFK",0
2,"AA",32,"LAX","JFK",1
3,"AA",32,"LAX","JFK",0
4,"AA",32,"LAX","JFK",0
5,"AA",32,"LAX","JFK",0
6,"AA",32,"LAX","JFK",1
7,"AA",32,"LAX","JFK",0
8,"AA",32,"LAX","JFK",1
9,"AA",32,"LAX","JFK",1
10,"AA",32,"LAX","JFK",0
11,"AA",32,"LAX","JFK",0
12,"AA",32,"LAX","JFK",0
13,"AA",32,"LAX","JFK",1
14,"AA",32,"LAX","JFK",1
15,"AA",32,"LAX","JFK",1
16,"AA",32,"LAX","JFK",0
17,"AA",32,"LAX","JFK",0
18,"AA",32,"LAX","JFK",0
19,"AA",32,"LAX","JFK",0
20,"AA",32,"LAX","JFK",1
21,"AA",32,"LAX","JFK",0
22,"AA",32,"LAX","JFK",0
23,"AA",32,"LAX","JFK",0
24,"AA",32,"LAX","JFK",0
25,"AA",32,"LAX","JFK",0
26,"AA",32,"LAX","JFK",0
27,"AA",32,"LAX","JFK",0
28,"AA",32,"LAX","JFK",0
29,"AA",32,"LAX","JFK",0
30,"AA",32,"LAX","JFK",0
1,"AA",33,"JFK","LAX",0
2,"AA",33,"JFK","LAX",0
3,"AA",33,"JFK","LAX",0
5,"AA",33,"JFK","LAX",0
6,"AA",33,"JFK","LAX",1
7,"AA",33,"JFK","LAX",0
8,"AA",33,"JFK","LAX",0
9,"AA",33,"JFK","LAX",0
10,"AA",33,"JFK","LAX",0
12,"AA",33,"JFK","LAX",1
13,"AA",33,"JFK","LAX",1
14,"AA",33,"JFK","LAX",0
15,"AA",33,"JFK","LAX",0
16,"AA",33,"JFK","LAX",0
17,"AA",33,"JFK","LAX",0
19,"AA",33,"JFK","LAX",0
20,"AA",33,"JFK","LAX",0
21,"AA",33,"JFK","LAX",0
22,"AA",33,"JFK","LAX",0
23,"AA",33,"JFK","LAX",1
24,"AA",33,"JFK","LAX",0
26,"AA",33,"JFK","LAX",0
27,"AA",33,"JFK","LAX",0
28,"AA",33,"JFK","LAX",1
29,"AA",33,"JFK","LAX",0
30,"AA",33,"JFK","LAX",0
1,"AA",34,"LAX","JFK",1
2,"AA",34,"LAX","JFK",0
3,"AA",34,"LAX","JFK",0
4,"AA",34,"LAX","JFK",1
5,"AA",34,"LAX","JFK",1
6,"AA",34,"LAX","JFK",0
7,"AA",34,"LAX","JFK",0
8,"AA",34,"LAX","JFK",1
9,"AA",34,"LAX","JFK",1
10,"AA",34,"LAX","JFK",0
11,"AA",34,"LAX","JFK",0
12,"AA",34,"LAX","JFK",0
13,"AA",34,"LAX","JFK",0
14,"AA",34,"LAX","JFK",0
15,"AA",34,"LAX","JFK",0
16,"AA",34,"LAX","JFK",1
17,"AA",34,"LAX","JFK",0
18,"AA",34,"LAX","JFK",0
19,"AA",34,"LAX","JFK",0
20,"AA",34,"LAX","JFK",0
21,"AA",34,"LAX","JFK",0
22,"AA",34,"LAX","JFK",0
23,"AA",34,"LAX","JFK",1
24,"AA",34,"LAX","JFK",0
25,"AA",34,"LAX","JFK",0
26,"AA",34,"LAX","JFK",0
27,"AA",34,"LAX","JFK",0
28,"AA",34,"LAX","JFK",1
29,"AA",34,"LAX","JFK",0
30,"AA",34,"LAX","JFK",0
1,"AA",164,"SFO","JFK",0
2,"AA",164,"SFO","JFK",1
3,"AA",164,"SFO","JFK",0
5,"AA",164,"SFO","JFK",1
6,"AA",164,"SFO","JFK",0
7,"AA",164,"SFO","JFK",1
8,"AA",164,"SFO","JFK",0
9,"AA",164,"SFO","JFK",0
10,"AA",164,"SFO","JFK",1
12,"AA",164,"SFO","JFK",0
13,"AA",164,"SFO","JFK",0
14,"AA",164,"SFO","JFK",0
15,"AA",164,"SFO","JFK",0
16,"AA",164,"SFO","JFK",0
17,"AA",164,"SFO","JFK",0
19,"AA",164,"SFO","JFK",0
20,"AA",164,"SFO","JFK",0
21,"AA",164,"SFO","JFK",1
22,"AA",164,"SFO","JFK",1
23,"AA",164,"SFO","JFK",1
24,"AA",164,"SFO","JFK",0
26,"AA",164,"SFO","JFK",0
27,"AA",164,"SFO","JFK",0
28,"AA",164,"SFO","JFK",1
29,"AA",164,"SFO","JFK",0
30,"AA",164,"SFO","JFK",0
1,"AA",171,"JFK","LAX",0
2,"AA",171,"JFK","LAX",0
3,"AA",171,"JFK","LAX",0
5,"AA",171,"JFK","LAX",0
6,"AA",171,"JFK","LAX",1
7,"AA",171,"JFK","LAX",1
8,"AA",171,"JFK","LAX",0
