"DAY_OF_MONTH","CARRIER","FL_NUM","ORIGIN","DEST","ARR_DEL15"
3,"1",15,"49","88",0
5,"1",15,"49","88",0
6,"1",15,"49","88",0
7,"1",15,"49","88",0
8,"1",15,"49","88",0
9,"1",15,"49","88",0
10,"1",15,"49","88",1
12,"1",15,"49","88",0
13,"1",15,"49","88",0
14,"1",15,"49","88",0
15,"1",15,"49","88",1
16,"1",15,"49","88",1
17,"1",15,"49","88",1
19,"1",15,"49","88",0
20,"1",15,"49","88",0
21,"1",15,"49","88",1
22,"1",15,"49","88",1
23,"1",15,"49","88",0
24,"1",15,"49","88",1
26,"1",15,"49","88",0
27,"1",15,"49","88",0
28,"1",15,"49","88",0
29,"1",15,"49","88",0
30,"1",15,"49","88",0
3,"1",16,"87","49",0
5,"1",16,"87","49",1
6,"1",16,"87","49",0
7,"1",16,"87","49",0
10,"1",16,"87","49",0
12,"1",16,"87","49",0
13,"1",16,"87","49",1
14,"1",16,"87","49",0
17,"1",16,"87","49",0
19,"1",16,"87","49",0
20,"1",16,"87","49",0
21,"1",16,"87","49",1
24,"1",16,"87","49",0
26,"1",16,"87","49",1
27,"1",16,"87","49",0
28,"1",16,"87","49",1
1,"1",17,"49","5",0
1,"1",18,"87","49",0
2,"1",18,"87","49",0
4,"1",18,"87","49",0
8,"1",18,"87","49",0
9,"1",18,"87","49",0
11,"1",18,"87","49",0
15,"1",18,"87","49",0
16,"1",18,"87","49",0
18,"1",18,"87","49",0
22,"1",18,"87","49",1
23,"1",18,"87","49",1
25,"1",18,"87","49",0
29,"1",18,"87","49",0
30,"1",18,"87","49",0
1,"1",19,"49","51",0
2,"1",19,"49","51",0
3,"1",19,"49","51",0
4,"1",19,"49","51",0
5,"1",19,"49","51",0
6,"1",19,"49","51",0
7,"1",19,"49","51",0
8,"1",19,"49","51",0
9,"1",19,"49","51",0
10,"1",19,"49","51",0
11,"1",19,"49","51",0
12,"1",19,"49","51",0
13,"1",19,"49","51",0
14,"1",19,"49","51",0
15,"1",19,"49","51",0
16,"1",19,"49","51",1
17,"1",19,"49","51",0
18,"1",19,"49","51",0
19,"1",19,"49","51",0
20,"1",19,"49","51",0
21,"1",19,"49","51",1
22,"1",19,"49","51",0
23,"1",19,"49","51",1
24,"1",19,"49","51",0
25,"1",19,"49","51",0
26,"1",19,"49","51",0
27,"1",19,"49","51",0
28,"1",19,"49","51",0
29,"1",19,"49","51",0
30,"1",19,"49","51",0
1,"1",20,"87","49",0
2,"1",20,"87","49",0
3,"1",20,"87","49",0
4,"1",20,"87","49",0
5,"1",20,"87","49",0
6,"1",20,"87","49",0
7,"1",20,"87","49",0
8,"1",20,"87","49",0
9,"1",20,"87","49",0
10,"1",20,"87","49",0
11,"1",20,"87","49",1
12,"1",20,"87","49",0
13,"1",20,"87","49",1
14,"1",20,"87","49",1
15,"1",20,"87","49",0
16,"1",20,"87","49",0
17,"1",20,"87","49",0
18,"1",20,"87","49",1
19,"1",20,"87","49",0
20,"1",20,"87","49",0
21,"1",20,"87","49",0
22,"1",20,"87","49",0
23,"1",20,"87","49",1
24,"1",20,"87","49",0
25,"1",20,"87","49",0
26,"1",20,"87","49",0
27,"1",20,"87","49",1
28,"1",20,"87","49",1
29,"1",20,"87","49",0
30,"1",20,"87","49",0
1,"1",21,"49","51",0
2,"1",21,"49","51",1
3,"1",21,"49","51",0
4,"1",21,"49","51",0
5,"1",21,"49","51",1
6,"1",21,"49","51",1
7,"1",21,"49","51",0
8,"1",21,"49","51",1
9,"1",21,"49","51",0
10,"1",21,"49","51",0
11,"1",21,"49","51",0
12,"1",21,"49","51",0
13,"1",21,"49","51",0
14,"1",21,"49","51",0
15,"1",21,"49","51",0
16,"1",21,"49","51",1
17,"1",21,"49","51",1
18,"1",21,"49","51",1
19,"1",21,"49","51",1
20,"1",21,"49","51",0
21,"1",21,"49","51",0
22,"1",21,"49","51",0
23,"1",21,"49","51",1
24,"1",21,"49","51",1
25,"1",21,"49","51",0
26,"1",21,"49","51",1
27,"1",21,"49","51",1
28,"1",21,"49","51",1
29,"1",21,"49","51",0
30,"1",21,"49","51",0
1,"1",22,"51","49",0
2,"1",22,"51","49",0
3,"1",22,"51","49",0
4,"1",22,"51","49",1
5,"1",22,"51","49",1
6,"1",22,"51","49",0
7,"1",22,"51","49",0
8,"1",22,"51","49",0
9,"1",22,"51","49",0
10,"1",22,"51","49",0
11,"1",22,"51","49",0
12,"1",22,"51","49",0
13,"1",22,"51","49",0
14,"1",22,"51","49",0
15,"1",22,"51","49",0
16,"1",22,"51","49",1
17,"1",22,"51","49",0
18,"1",22,"51","49",0
19,"1",22,"51","49",0
20,"1",22,"51","49",0
21,"1",22,"51","49",1
22,"1",22,"51","49",1
23,"1",22,"51","49",1
24,"1",22,"51","49",0
25,"1",22,"51","49",1
26,"1",22,"51","49",0
27,"1",22,"51","49",0
28,"1",22,"51","49",1
29,"1",22,"51","49",1
30,"1",22,"51","49",0
1,"1",23,"49","51",0
2,"1",23,"49","51",0
3,"1",23,"49","51",0
5,"1",23,"49","51",1
6,"1",23,"49","51",0
7,"1",23,"49","51",0
8,"1",23,"49","51",0
9,"1",23,"49","51",0
10,"1",23,"49","51",0
12,"1",23,"49","51",1
13,"1",23,"49","51",1
14,"1",23,"49","51",1
15,"1",23,"49","51",0
16,"1",23,"49","51",1
17,"1",23,"49","51",0
19,"1",23,"49","51",0
20,"1",23,"49","51",0
21,"1",23,"49","51",0
22,"1",23,"49","51",1
23,"1",23,"49","51",1
24,"1",23,"49","51",1
26,"1",23,"49","51",0
27,"1",23,"49","51",0
28,"1",23,"49","51",1
29,"1",23,"49","51",1
30,"1",23,"49","51",0
1,"1",28,"51","49",0
2,"1",28,"51","49",1
3,"1",28,"51","49",0
4,"1",28,"51","49",1
5,"1",28,"51","49",1
6,"1",28,"51","49",1
7,"1",28,"51","49",0
8,"1",28,"51","49",0
9,"1",28,"51","49",0
10,"1",28,"51","49",0
11,"1",28,"51","49",0
12,"1",28,"51","49",1
13,"1",28,"51","49",0
14,"1",28,"51","49",1
15,"1",28,"51","49",0
16,"1",28,"51","49",1
17,"1",28,"51","49",1
18,"1",28,"51","49",1
19,"1",28,"51","49",1
20,"1",28,"51","49",0
21,"1",28,"51","49",0
22,"1",28,"51","49",0
23,"1",28,"51","49",1
24,"1",28,"51","49",0
25,"1",28,"51","49",1
26,"1",28,"51","49",0
27,"1",28,"51","49",0
28,"1",28,"51","49",1
29,"1",28,"51","49",0
30,"1",28,"51","49",1
1,"1",30,"51","49",1
2,"1",30,"51","49",0
3,"1",30,"51","49",0
5,"1",30,"51","49",1
6,"1",30,"51","49",1
7,"1",30,"51","49",0
8,"1",30,"51","49",0
9,"1",30,"51","49",0
10,"1",30,"51","49",1
12,"1",30,"51","49",1
13,"1",30,"51","49",1
14,"1",30,"51","49",0
15,"1",30,"51","49",0
16,"1",30,"51","49",1
17,"1",30,"51","49",1
19,"1",30,"51","49",0
20,"1",30,"51","49",0
21,"1",30,"51","49",1
22,"1",30,"51","49",1
23,"1",30,"51","49",1
24,"1",30,"51","49",1
26,"1",30,"51","49",1
27,"1",30,"51","49",1
28,"1",30,"51","49",0
29,"1",30,"51","49",0
30,"1",30,"51","49",0
1,"1",32,"51","49",0
2,"1",32,"51","49",1
3,"1",32,"51","49",0
4,"1",32,"51","49",0
